file_type,proj_count,total_count
modulemap,84,395
gv,84,474
blend,84,365
marks,83,528
apache,83,113
apache2,83,245
targets,83,307
perl,82,310
windows,82,86
bmr,82,1164
xacro,82,681
sass,81,990
odp,81,239
settings,81,597
pug,81,4162
xlsm,81,477
vec,81,5977
xcuserstate,81,252
sbatch,81,592
ru,80,205
xcsettings,80,207
asciipb,79,80
gyp,79,170
graph,79,3535
inl,79,2976
internal,77,750
srv,77,277
avsc,77,286
net,77,376
ld,77,22262
mexw64,77,660
disabled,77,149
mexa64,77,573
idx,77,394
python,76,82
ani,76,79
sbx,76,168
trace,76,5429
android,76,81
sbn,75,164
feature,74,1975
md~,74,160
x,74,31055
weights,74,187
webm,74,404
exp,74,334
fdb_latexmk,73,124
includecache,73,463
ll,73,958
nuspec,73,232
target,73,479
libsonnet,72,3149
state,72,271
shader,72,1296
mpl2,72,114
fls,71,125
name,71,6521
rviz,71,264
dcm,71,5699
tfrecords,71,221
schema,71,695
odg,70,282
edgelist,70,624
erb,69,2765
idl,69,170
ply,69,4260
nii,68,1561
lgpl,68,102
item,68,89
license,68,478
golden,67,1689
jst,67,3142
src,67,475
dta,67,1026
g4,66,186
backup,66,121
twbx,66,166
awk,65,205
fig,65,517
graphml,65,18474
url,64,997
9,64,391
source,64,1741
node,64,490
bytes,64,386
pos,63,1507
de,63,137
wasm,63,265
vcf,63,735
mexmaci64,63,486
type,62,6417
desktop,62,278
targ,62,104
natvis,62,95
vcproj,62,2092
wandb,62,4918
xbm,62,356
sol,62,257
err,62,3969
physicmaterial,61,529
pch,61,312
new,61,915
bundle,61,95
ann,61,40830
dic,61,238
asc,60,982
labels,60,1912
pc,60,933
json5,60,202
pages,60,209
guess,60,154
dump,59,129
jade,59,325
doctest,59,3492
pi,59,154
txt~,59,92
tga,58,1634
t,58,2548
identifier,58,6247
xaml,57,964
minpack,57,87
rda,57,530
mustache,57,799
dist,56,201
supp,56,90
ttl,56,1495
hadoop,56,57
aspx,56,507
t7,55,169
prod,55,79
mdl,55,805
world,55,299
output,55,1234
numbers,55,118
2c54f4e1ca1c,55,57
debug,55,1079
podspec,54,469
fb,53,86
nib,53,369
jsp,53,652
l,53,422
xcbkptlist,53,106
qss,53,149
ist,53,59
cginc,53,250
nix,52,138
pkg,52,490
id2word,52,142
strings,52,997
processor,52,59
genre,52,68
occupation,52,68
cif,52,41919
04,52,159
htc,52,75
stats,51,201
xmind,51,130
hs,51,3217
command,51,81
glsl,51,2339
pfb,51,111
min,51,56
conllu,50,5044
preamble,50,76
